ACCURACY,BATCH_SIZE,EPOCHS,LEARNING_RATE,MU,SIGMA
0.07691523003466309,32,10,1e-05,0,1
0,0.7842497194675503,32,10,0.0003,0,0.3
0,0.31520962981159656,256,10,0.0003,0,1
0,0.05641130266245027,16,10,0.001,0,1
0,0.9133938590227482,16,10,0.0001,0,0.1
0,0.8408650411801181,128,20,0.0001,0,0.1
0,0.9866367438539223,16,10,0.0003,0,0.01
0,0.985412628787106,16,15,0.0003,0,0.01
0,0.8287259003623072,256,10,0.001,0,0.3
0,0.8614709781381922,128,20,0.003,0,1
0,0.9081913699887789,64,20,0.0001,0,0.1
0,0.16647964909309443,64,10,1e-05,0,0.3
0,0.9484851576048149,64,20,0.003,0,0.1
0,0.9348158727224343,32,20,0.003,0,0.1
0,0.06528613692346938,128,15,0.001,0,0.3
0,0.6106293991513608,16,10,0.0001,0,1
0,0.05641130266245027,64,10,0.001,0,0.3
0,0.6531673977536279,32,10,0.0001,0,0.3
0,0.9865347342650209,16,10,0.0001,0,0.03
0,0.9758237274303785,64,10,0.0003,0,0.03
0,0.44986228706714365,16,20,1e-05,0,0.3
0,0.953993675600056,128,15,0.003,0,0.01
0,0.31673977355391325,64,10,0.0001,0,1
0,0.8603488728244438,128,20,1e-05,0,0.03
0,0.6662246251086805,32,10,0.0003,0,1
0,0.05569723554014077,32,10,0.003,0,0.3
0,0.9807201876976436,16,20,0.0003,0,0.01
0,0.6594919923019934,256,10,1e-05,0,0.03
0,0.05692135060695706,32,20,0.003,0,0.01
0,0.9860246863205141,32,15,0.0001,0,0.03
